review_text,rating,product
"This laptop is amazing and has a great battery life. Highly recommend!",5,Laptop
"Terrible product. The screen was broken upon arrival.",1,Laptop
"Slow performance, very disappointed with the quality.",2,Laptop
"Very satisfied, the product is perfect and works great.",5,Smartphone
"The headphones are average. Not bad but not excellent.",3,Headphone
"Awful customer service and worst build quality. Hate it.",1,Headphone
"Sangat puas dengan barang ini! Bagus sekali dan mantap.",5,Smartphone
"Jelek sekali, barangnya rusak saat sampai. Kecewa.",1,Smartphone
"Barang lumayan bagus untuk harganya. Suka sekali.",4,Headphone
"Pelayanan lambat dan respon penjual sangat buruk.",1,Laptop
